"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"7/26/2019","Old Navy","OLD NAVY ON-LINE","67.20","debit","Clothing","Venture","",""
"7/26/2019","Chili's","CHILI'S 0828 ECOMM","10.90","debit","Restaurants","Venture","",""
"7/25/2019","Meineke","MEINEKE CAR CARE CENTER O","127.20","debit","Service & Parts","Venture","",""
"7/25/2019","Amazon","AMZN Mktp US*MA13E7J22","22.93","debit","Babysitter & Daycare","Venture","",""
"7/25/2019","Greyhound","GREYHOUND LINES CNP","56.00","debit","Travel","Venture","",""
"7/24/2019","Liberty Mutual","LIBERTY MUTUAL RECUR","175.49","debit","Auto Insurance","Venture","",""
"7/24/2019","iTunes","APL*ITUNES.COM/BILL","0.99","debit","Music","Venture","",""
"7/24/2019","Ticketmaster","TM *TOM SEGURA","163.65","debit","Entertainment","Venture","",""
"7/23/2019","TST* SOUTH STREET DINER","TST* SOUTH STREET DINER","50.00","debit","Restaurants","Venture","",""
"7/23/2019","iTunes","APL*ITUNES.COM/BILL","0.99","debit","Music","Venture","",""
"7/23/2019","Travel Reward","CREDIT-TRAVEL REWARD","23.98","credit","Credit Card Rewards","Venture","",""
"7/23/2019","iTunes","APL*ITUNES.COM/BILL","3.87","debit","Music","Venture","",""
"7/23/2019","Travel Reward","CREDIT-TRAVEL REWARD","56.00","credit","Credit Card Rewards","Venture","",""
"7/22/2019","TAMO LOUNGE","TAMO LOUNGE","43.75","debit","Restaurants","Venture","",""
"7/22/2019","Level Up","LEVELUP*TROPICALSMOOTH","13.06","debit","Fast Food","Venture","",""
"7/20/2019","Groupon","GROUPON INC","11.98","debit","Shopping","Venture","",""
"7/18/2019","CAPITAL ONE MOBILE payment AuthDate 18-J ul","CAPITAL ONE MOBILE PYMT AuthDate 18-J ul","3000.00","credit","Transfer","Venture","",""
"7/17/2019","iTunes","APL* ITUNES.COM/BILL","4.99","debit","Music","Venture","",""
"7/17/2019","Amazon","AMZN Mktp US*MH34E0KL2","8.99","debit","Babysitter & Daycare","Venture","",""
"7/16/2019","iTunes","APL* ITUNES.COM/BILL","5.16","debit","Music","Venture","",""
"7/16/2019","Sunoco","SUNOCO 0598351500","30.00","debit","Gas & Fuel","Venture","",""
"7/15/2019","Amazon","AMZN MKTP US AMZN.COM/BIL","8.49","credit","Shopping","Venture","",""
"7/15/2019","Amazon","AMZN MKTP US AMZN.COM/BIL","11.40","credit","Shopping","Venture","",""
"7/15/2019","Amazon","AMZN MKTP US AMZN.COM/BIL","5.95","credit","Shopping","Venture","",""
"7/12/2019","iTunes","APL* ITUNES.COM/BILL","6.45","debit","Music","Venture","",""
"7/12/2019","Wal-Mart","WM SUPERCENTER #2330","18.94","debit","Shopping","Venture","",""
"7/12/2019","Meineke","MEINEKE CAR CARE CENTER O","492.82","debit","Service & Parts","Venture","",""
"7/11/2019","Amazon","AMZN Mktp US*MH30U9V72","21.95","debit","Babysitter & Daycare","Venture","",""
"7/10/2019","Netflix","Netflix.com","12.99","debit","Movies & DVDs","Venture","",""
"7/10/2019","iTunes","APL*ITUNES.COM/BILL","0.99","debit","Music","Venture","",""
"7/10/2019","BJ's Wholesale Club","BJS WHOLESALE CLUB","84.45","debit","Groceries","Venture","",""
"7/09/2019","STRAIGHTTALK*PHONES","STRAIGHTTALK*PHONES","614.94","debit","Electronics & Software","Venture","",""
"7/09/2019","PP*East Coast Dance Cmplx","PP*East Coast Dance Cmplx","40.00","debit","Kids Activities","Venture","",""
"7/06/2019","Hannaford","HANNAFORD #8159","4.28","debit","Groceries","Venture","",""
"7/06/2019","SUNNY VILLA","SUNNY VILLA","80.00","debit","Restaurants","Venture","",""
"7/06/2019","iTunes","APL*ITUNES.COM/BILL","4.99","debit","Music","Venture","",""
"7/06/2019","THURSTONS MARINA","THURSTONS MARINA","19.95","debit","Restaurants","Venture","",""
"7/04/2019","Amazon","AMZN MKTP US*MH0YK0GP1 AM","43.12","debit","Babysitter & Daycare","Venture","",""
"7/04/2019","AT&T","ATT*BILL PAYMENT","59.49","debit","Cable/ Internet","Venture","",""
"7/04/2019","Microsoft","MICROSOFT *ONEDRIVE","1.99","debit","Electronics & Software","Venture","",""
"7/02/2019","Level Up","LEVELUP*TROPICALSMOOTH","13.28","debit","Entertainment","Venture","",""
"7/02/2019","Amazon","AMAZON.COM*MH83D3LA2 AMZN","44.69","debit","Babysitter & Daycare","Venture","",""
"7/02/2019","Wal-Mart","WAL-MART #2330","22.00","debit","Shopping","Venture","",""
"7/01/2019","CHEGG ORDER","CHEGG  ORDER","14.95","debit","Books & Supplies","Venture","",""
"7/01/2019","Target","TARGET.COM  *","22.71","debit","Shopping","Venture","",""
"7/01/2019","MARTINS POINT PORTAL PAYM","MARTINS POINT PORTAL PAYM","177.16","debit","Doctor","Venture","",""
"7/01/2019","BUTTERNUT FARM LLC","BUTTERNUT FARM LLC","26.25","debit","Groceries","Venture","",""
"7/01/2019","STRAIGHTTALK*PHONES","STRAIGHTTALK*PHONES","106.97","debit","Mobile Phone","Venture","",""
"6/30/2019","Norton","NORTON *NP1285302524","99.99","debit","Electronics & Software","Venture","",""
